review_id,app_name,review_text_original,skip_category
d98f8ea8-5b58-43ff-8c0f-3476bf682981,Mekari Flex,sangat terbantu,TERLALU_PENDEK
75fb73e8-f567-4a18-b1c0-48cb62c75307,Mekari Flex,itu bagus,TERLALU_PENDEK
9f03a919-c31e-491c-a3b5-8025847689d2,Mekari Flex,baik,TERLALU_PENDEK
89e484b0-48db-4723-b53b-53f71bdc0b2b,Mekari Flex,oke,TERLALU_PENDEK
45c8ea8b-6d2b-4671-88fc-87c69eb8632d,Mekari Flex,terima kasih,TERLALU_PENDEK
83a70d53-0d74-47ac-b03c-c4853e4d059b,Mekari Flex,joss pokokke,TERLALU_PENDEK
59690124-f35a-42d1-be4a-dd5958b628e0,Mekari Flex,mudah.simpel.,TERLALU_PENDEK
900284fa-f28d-4cdf-ab45-1bb2ebf80e17,Mekari Flex,jos,TERLALU_PENDEK
458c26ca-481f-40e0-b2ff-31b4643e9f36,Mekari Flex,mantapp,TERLALU_PENDEK
099c77d3-03ed-4bde-9a2c-4104b221b465,Mekari Flex,sangat berguna,TERLALU_PENDEK
2351f889-071d-4c62-bf88-723063af4840,Mekari Flex,topmarkotop,TERLALU_PENDEK
cbb351dc-298b-4337-aeca-01ed4d2f69b5,Mekari Flex,terbaik,TERLALU_PENDEK
6cd12c65-63a6-4507-9da0-e499617b9232,Mekari Flex,naice,TERLALU_PENDEK
a9bb2eed-b083-42eb-86f1-d928aae1b6d6,Mekari Flex,goog job 👍,TERLALU_PENDEK
a1491af5-c0cb-477c-9a34-fe1f9afc81a3,Mekari Flex,nicd,TERLALU_PENDEK
d2d1bb35-8891-4d29-9b04-6d7a8663782d,Mekari Flex,membantu keuangan,TERLALU_PENDEK
10a48322-34dd-4f7f-ad15-622f106ffdc6,Mekari Flex,membantu sekali,TERLALU_PENDEK
92da79cd-2d4c-49a4-9e2b-8939446052ea,Mekari Flex,sgt membantu,TERLALU_PENDEK
388047ac-652b-4e30-a17c-0fa8ff2c50fe,Mekari Flex,mantabbb,TERLALU_PENDEK
aec9965e-eb0c-4d0e-b16d-9612e4440f59,Mekari Flex,nice,TERLALU_PENDEK
60a08855-cd27-48e6-aa82-b6157c2e1c1f,Mekari Flex,rekomendasi,TERLALU_PENDEK
f360388f-38f9-4bb2-a447-b0e62892657f,Mekari Flex,kereeeen bet,TERLALU_PENDEK
93d3eeca-427a-4ce3-aa0c-d8d5b95b7fbd,Mekari Flex,Puas banget,TERLALU_PENDEK
ea7e43bb-75f5-4498-9f2a-6d61791f0a11,Mekari Flex,Ok sekali,TERLALU_PENDEK
a5251f15-48fb-4b4b-880d-a33d222c0b69,Mekari Flex,emejing,TERLALU_PENDEK
619b72b9-4938-4010-8a6b-9b8f4d184350,Mekari Flex,direkomendasikan,TERLALU_PENDEK
da3da613-191f-423a-80cd-3b388ba2dc36,Mekari Flex,sangat ngebantu,TERLALU_PENDEK
71dfd72d-cd5e-4a3b-b8aa-6b6d6c99c9f6,Mekari Flex,bsik,TERLALU_PENDEK
80b8e174-9ae8-40d2-bab4-5767091e4d06,Mekari Flex,membantu,TERLALU_PENDEK
15bb4d98-4625-46ce-b2a5-fa0e797a23f1,Mekari Flex,mantaap,TERLALU_PENDEK
9e4b9352-1fa6-4a41-88a8-bc4ba19c98ea,Mekari Flex,jozzz,TERLALU_PENDEK
1aa29c9a-79ff-4954-a222-fda86d2fab99,Mekari Flex,mntap,TERLALU_PENDEK
79e2c0ce-cf41-4746-a146-4cc341ccca40,Mekari Flex,Sangat memuaskan,TERLALU_PENDEK
6987aae8-309d-4947-9611-8b21b9005a52,Mekari Flex,Cukup membantu,TERLALU_PENDEK
86436eda-070e-446e-a602-082236ef3153,Mekari Flex,Okay,TERLALU_PENDEK
797bf82f-fbc2-41d7-afda-2b14e6f3be77,Mekari Flex,Terimakasih,TERLALU_PENDEK
b9aaed7a-7b2b-4fd3-a7fb-93637f424b1b,Mekari Flex,sangatlah bagus,TERLALU_PENDEK
bb113e4d-962d-404c-94ab-b8cdcf6e5515,Mekari Flex,Mantapppppppp,TERLALU_PENDEK
cf91fbce-965d-486b-8d88-173a87525d81,Mekari Flex,Sesuai ekspektasi,TERLALU_PENDEK
2ac419e9-f56a-4087-bd21-d427cf48b054,Mekari Flex,"Sangat"" membantu",TERLALU_PENDEK
c91e4d80-52f2-4aab-b8f9-572d7104c2d5,Mekari Flex,Keren pokonya,TERLALU_PENDEK
7ed94d55-c3b5-4f61-951f-4e5df2f23ca7,Mekari Flex,Mantop,TERLALU_PENDEK
f9aa4cb9-ace8-4222-b6d8-467c472cbc50,Mekari Flex,sgt bagus,TERLALU_PENDEK
7637d0d0-2d22-4c82-b625-2a484e789adb,Mekari Flex,Baik sekali,TERLALU_PENDEK
eed32235-3eeb-40ab-a089-3879011329a6,Mekari Flex,Menari mantap,TERLALU_PENDEK
41904cd6-4945-4159-b2d5-3e238e8a98f5,Mekari Flex,Mantap..sangat membantu,TERLALU_PENDEK
1a16a7c8-d230-47a1-a216-a982f92f5689,Mekari Flex,Bermanfaat,TERLALU_PENDEK
