app_name,package_name,rating,total_rating,total_review,installs,developer,status,ulasan_scraped_2020_2026
VENTENY,app.fortuna.venteny,3.58,902,766,55493,PT VENTENY Fortuna International Tbk,Aktif ✅,662
Mekari Flex,com.mekari.flex,4.62,3346,1158,121617,Mekari,Aktif ✅,1101
Paywatch,my.paywatchglobal.paywatch,4.82,8417,312,108414,Paywatch Global,Aktif ✅,313
Wagely,com.wagely.android,3.32,2833,1043,391985,wagely-app,Aktif ✅,1002
GajiGesa,com.gajigesanative,4.3,1022,531,97926,Easy Management Systems,Aktif ✅,498
AyoKasbon,com.kasbon.id,2.61,79,53,37692,PT Ayo Kasbon Indonesia,Aktif ✅,52
